"workerid","condition","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp","prospective","retrospective","firstPerson","thirdPerson"
348,4,41,0,40,95,0.27,0.4,0.33,40,0.4,0.26,5,4,3,4,1,1,5,5,1,0,0,1
331,2,6,10,35,75,0.5,0.32,0.18,75,0.18,0.38,9,1,1,9,1,1,9,1,1,0,1,0
289,2,32,45,60,90,0.52,0.29,0.19,60,0.29,0.091,7,2,1,6,1,1,6,2,1,0,1,0
332,4,22,20,60,90,0.32,0.16,0.52,20,0.32,0.8,1,9,8,9,9,8,1,9,1,0,0,1
311,4,6,10,35,75,0.5,0.32,0.18,75,0.18,0.587,9,1,1,9,1,1,9,1,1,0,0,1
261,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.674,9,1,1,9,1,1,1,1,1,0,1,0
380,2,14,30,50,95,0.33,0.29,0.38,50,0.29,0.453,3,1,1,3,1,1,8,3,1,0,1,0
101,2,3,0,30,60,0.41,0.37,0.22,60,0.22,0.978,9,1,1,8,1,1,8,1,1,0,1,0
302,4,33,45,60,90,0.5,0.3,0.2,90,0.2,0.887,8,1,1,8,1,1,1,1,1,0,0,1
368,2,42,0,40,95,0.26,0.42,0.32,95,0.32,0.213,1,4,2,2,2,1,1,7,1,0,1,0
376,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.998,9,1,1,9,1,1,9,1,1,0,1,0
363,2,17,25,60,100,0.42,0.38,0.2,60,0.38,0.222,7,3,3,2,2,1,6,3,1,0,1,0
326,2,23,20,60,90,0.34,0.22,0.44,60,0.22,0.252,7,3,3,7,3,3,7,4,1,0,1,0
312,2,15,30,50,95,0.3,0.3,0.4,95,0.4,0.174,9,1,1,9,1,1,9,1,1,0,1,0
362,2,35,30,50,90,0.41,0.24,0.35,50,0.24,0.461,7,1,1,2,1,1,9,3,1,0,1,0
249,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.114,9,1,1,1,1,1,9,1,1,0,0,1
307,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.326,9,1,1,8,1,1,8,1,1,0,1,0
254,4,45,10,50,75,0.6,0.24,0.16,75,0.16,0.643,9,1,1,8,1,1,1,1,1,0,0,1
351,2,24,20,60,90,0.33,0.2,0.47,90,0.47,0.111,9,1,1,7,1,1,9,1,1,0,1,0
350,2,1,0,30,60,0.38,0.36,0.26,0,0.38,0.871,1,7,6,1,4,1,4,7,1,0,1,0
200,2,11,20,45,70,0.41,0.35,0.24,45,0.35,0.062,5,3,1,1,1,1,6,3,1,0,1,0
205,4,10,20,45,70,0.43,0.39,0.18,20,0.43,0.741,2,7,6,2,2,1,5,8,1,0,0,1
217,2,42,0,40,95,0.26,0.42,0.32,95,0.32,0.038,1,9,9,6,9,1,1,9,1,0,1,0
227,4,13,30,50,95,0.31,0.25,0.44,30,0.31,0.201,6,1,1,5,1,1,6,4,1,0,0,1
292,2,16,25,60,100,0.45,0.37,0.18,25,0.45,0.556,6,1,1,7,1,1,5,1,1,0,1,0
275,4,11,20,45,70,0.41,0.35,0.24,45,0.35,0.463,5,2,1,4,1,1,7,4,1,0,0,1
237,4,42,0,40,95,0.26,0.42,0.32,95,0.32,0.802,9,1,1,6,1,1,3,1,1,0,0,1
381,2,39,20,50,90,0.32,0.18,0.5,90,0.5,0.978,9,1,1,9,1,1,9,1,1,0,1,0
216,4,27,15,50,75,0.25,0.38,0.37,75,0.37,0.984,8,1,1,4,1,1,8,1,1,0,0,1
253,2,20,25,45,80,0.26,0.32,0.42,45,0.32,0.932,6,5,2,3,5,1,5,6,1,0,1,0
287,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.491,9,1,1,6,1,1,7,1,1,0,1,0
343,2,48,55,70,85,0.25,0.52,0.23,85,0.23,0.764,8,1,1,6,1,1,9,1,1,0,1,0
345,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.109,9,1,1,8,1,1,1,1,1,0,0,1
202,4,40,0,40,95,0.27,0.38,0.35,0,0.27,0.826,1,8,8,8,5,5,7,8,1,0,0,1
324,4,38,20,50,90,0.3,0.18,0.52,50,0.18,0.004,4,3,2,5,3,1,4,5,1,0,0,1
223,4,30,40,65,100,0.37,0.32,0.31,100,0.31,0.177,9,1,1,9,1,1,7,1,1,0,0,1
244,4,47,55,70,85,0.28,0.51,0.21,70,0.51,0.439,7,2,2,2,4,1,4,2,1,0,0,1
12,4,23,20,60,90,0.34,0.22,0.44,60,0.22,0.976,7,1,1,6,1,1,8,4,1,0,0,1
199,4,40,0,40,95,0.27,0.38,0.35,0,0.27,0.121,1,9,6,7,8,1,1,9,1,0,0,1
322,2,50,50,75,90,0.32,0.5,0.18,75,0.5,0.702,6,5,5,2,4,1,6,7,1,0,1,0
256,4,22,20,60,90,0.32,0.16,0.52,20,0.32,0.517,1,9,9,5,9,9,2,9,1,0,0,1
386,2,27,15,50,75,0.25,0.38,0.37,75,0.37,0.157,8,1,1,5,1,1,6,1,1,0,1,0
210,4,34,30,50,90,0.43,0.23,0.34,30,0.43,0.028,6,1,1,6,1,1,6,4,1,0,0,1
246,2,11,20,45,70,0.41,0.35,0.24,45,0.35,0.006,6,3,2,5,3,6,5,4,1,0,1,0
373,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.126,7,1,1,6,1,1,5,1,1,0,0,1
225,4,15,30,50,95,0.3,0.3,0.4,95,0.4,0.026,8,2,2,7,2,2,6,2,1,0,0,1
383,4,39,20,50,90,0.32,0.18,0.5,90,0.5,0.651,8,1,1,4,1,1,5,2,1,0,0,1
230,2,18,25,60,100,0.43,0.35,0.22,100,0.22,0.933,9,1,1,9,1,1,9,1,1,0,1,0
70,2,8,15,70,80,0.49,0.27,0.24,70,0.27,0.421,9,1,1,7,1,1,6,3,1,0,1,0
371,2,36,30,50,90,0.39,0.25,0.36,90,0.36,0.658,9,1,1,7,1,1,9,1,1,0,1,0
260,4,21,25,45,80,0.3,0.3,0.4,80,0.4,0.951,9,1,1,7,1,1,9,1,1,0,0,1
367,4,35,30,50,90,0.41,0.24,0.35,50,0.24,0.172,8,3,3,8,3,1,3,4,1,0,0,1
270,4,38,20,50,90,0.3,0.18,0.52,50,0.18,0.231,7,5,5,7,4,1,3,6,1,0,0,1
273,2,17,25,60,100,0.42,0.38,0.2,60,0.38,0.777,6,1,1,3,1,1,1,2,1,0,1,0
278,4,3,0,30,60,0.41,0.37,0.22,60,0.22,0.218,9,1,1,5,1,1,9,1,1,0,0,1
243,2,34,30,50,90,0.43,0.23,0.34,30,0.43,0.26,4,3,2,2,1,1,4,2,1,0,1,0
304,2,33,45,60,90,0.5,0.3,0.2,90,0.2,0.518,8,3,2,9,1,1,9,1,1,0,1,0
259,4,42,0,40,95,0.26,0.42,0.32,95,0.32,0.178,9,1,1,9,1,1,9,1,1,0,0,1
298,2,27,15,50,75,0.25,0.38,0.37,75,0.37,0.846,9,1,1,3,1,1,9,1,1,0,1,0
235,4,6,10,35,75,0.5,0.32,0.18,75,0.18,0.172,1,4,5,5,5,1,1,5,1,0,0,1
229,2,50,50,75,90,0.32,0.5,0.18,75,0.5,0.263,8,2,2,7,2,2,8,2,1,0,1,0
274,2,49,50,75,90,0.3,0.52,0.18,50,0.3,0.057,5,5,3,3,1,1,5,3,1,0,1,0
354,4,29,40,65,100,0.38,0.34,0.28,65,0.34,0.026,6,4,2,5,3,2,7,2,1,0,0,1
315,4,4,10,35,75,0.5,0.31,0.19,10,0.5,0.86,2,7,4,2,2,2,2,6,1,0,0,1
250,4,17,25,60,100,0.42,0.38,0.2,60,0.38,0.067,4,3,2,1,1,1,1,4,1,0,0,1
264,2,20,25,45,80,0.26,0.32,0.42,45,0.32,0.144,6,2,2,5,2,1,1,1,1,0,1,0
291,4,28,40,65,100,0.36,0.4,0.24,40,0.36,0.693,4,3,1,1,1,1,4,3,1,0,0,1
309,2,18,25,60,100,0.43,0.35,0.22,100,0.22,0.565,9,4,4,9,3,1,5,5,1,0,1,0
211,2,10,20,45,70,0.43,0.39,0.18,20,0.43,0.584,2,1,1,1,1,1,2,6,1,0,1,0
378,4,43,10,50,75,0.55,0.28,0.17,10,0.55,0.032,1,2,1,1,1,1,1,2,1,0,0,1
