workerid,condition,firstPerson,order.1,order.2,order.3,order.4,order.5,order.6,order.7,order.8,order.9,order.10,spinnerID.1,spinnerID.2,spinnerID.3,spinnerID.4,spinnerID.5,spinnerID.6,spinnerID.7,spinnerID.8,spinnerID.9,spinnerID.10,payoff1.1,payoff1.2,payoff1.3,payoff1.4,payoff1.5,payoff1.6,payoff1.7,payoff1.8,payoff1.9,payoff1.10,payoff2.1,payoff2.2,payoff2.3,payoff2.4,payoff2.5,payoff2.6,payoff2.7,payoff2.8,payoff2.9,payoff2.10,payoff3.1,payoff3.2,payoff3.3,payoff3.4,payoff3.5,payoff3.6,payoff3.7,payoff3.8,payoff3.9,payoff3.10,prob1.1,prob1.2,prob1.3,prob1.4,prob1.5,prob1.6,prob1.7,prob1.8,prob1.9,prob1.10,prob2.1,prob2.2,prob2.3,prob2.4,prob2.5,prob2.6,prob2.7,prob2.8,prob2.9,prob2.10,prob3.1,prob3.2,prob3.3,prob3.4,prob3.5,prob3.6,prob3.7,prob3.8,prob3.9,prob3.10,win.1,win.2,win.3,win.4,win.5,win.6,win.7,win.8,win.9,win.10,winProb.1,winProb.2,winProb.3,winProb.4,winProb.5,winProb.6,winProb.7,winProb.8,winProb.9,winProb.10,angleProp.1,angleProp.2,angleProp.3,angleProp.4,angleProp.5,angleProp.6,angleProp.7,angleProp.8,angleProp.9,angleProp.10,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,reactionTime.6,reactionTime.7,reactionTime.8,reactionTime.9,reactionTime.10,happy.1,happy.2,happy.3,happy.4,happy.5,happy.6,happy.7,happy.8,happy.9,happy.10,sad.1,sad.2,sad.3,sad.4,sad.5,sad.6,sad.7,sad.8,sad.9,sad.10,anger.1,anger.2,anger.3,anger.4,anger.5,anger.6,anger.7,anger.8,anger.9,anger.10,surprise.1,surprise.2,surprise.3,surprise.4,surprise.5,surprise.6,surprise.7,surprise.8,surprise.9,surprise.10,disgust.1,disgust.2,disgust.3,disgust.4,disgust.5,disgust.6,disgust.7,disgust.8,disgust.9,disgust.10,fear.1,fear.2,fear.3,fear.4,fear.5,fear.6,fear.7,fear.8,fear.9,fear.10,content.1,content.2,content.3,content.4,content.5,content.6,content.7,content.8,content.9,content.10,disapp.1,disapp.2,disapp.3,disapp.4,disapp.5,disapp.6,disapp.7,disapp.8,disapp.9,disapp.10,socCompArray.1,socCompArray.2,socCompArray.3,socCompArray.4,socCompArray.5,socCompArray.6,socCompArray.7,socCompArray.8,socCompArray.9,socCompArray.10,RSEArray.1,RSEArray.2,RSEArray.3,RSEArray.4,RSEArray.5,RSEArray.6,RSEArray.7,RSEArray.8,RSEArray.9,RSEArray.10,LOTRArray.1,LOTRArray.2,LOTRArray.3,LOTRArray.4,LOTRArray.5,LOTRArray.6,LOTRArray.7,LOTRArray.8,LOTRArray.9,LOTRArray.10,PHQArray.1,PHQArray.2,socComp,RSE,LOTR,SINS,PHQ,gender,age,nativeLanguage,browser,browserOS
31,1,0,1,2,3,4,5,6,7,8,9,10,30,42,5,50,10,14,48,27,29,34,40,0,10,50,20,30,55,15,40,30,65,40,35,75,45,50,70,50,65,50,100,95,75,90,70,95,85,75,100,90,0.37,0.26,0.515,0.32,0.43,0.33,0.25,0.25,0.38,0.43,0.32,0.42,0.3,0.5,0.39,0.29,0.52,0.38,0.34,0.23,0.31,0.32,0.185,0.18,0.18,0.38,0.23,0.37,0.28,0.34,100,95,35,75,20,50,85,75,65,30,0.31,0.32,0.3,0.5,0.43,0.29,0.23,0.37,0.34,0.43,0.55,0.229,0.828,0.03,0.74,0.07,0.612,0.506,0.266,0.567,19504,23710,19903,15732,16048,19106,13186,16608,21780,37586,9,9,9,9,9,6,9,9,9,6,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,9,1,1,1,1,9,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,3,8,7,8,9,6,9,7,1,1,1,1,1,1,1,1,1,1,9,6,3,6,7,3,1,8,2,7,2,2,2,3,1,2,2,2,2,2,3,4,5,3,3,4,4,2,3,3,1,1,72,17,21,2,2,M,23,english,Chrome,Windows
32,1,0,1,2,3,4,5,6,7,8,9,10,32,4,38,16,42,34,37,6,17,47,45,10,20,25,0,30,20,10,25,55,60,35,50,60,40,50,50,35,60,70,90,75,90,100,95,90,90,75,100,85,0.52,0.5,0.3,0.45,0.26,0.43,0.28,0.5,0.42,0.28,0.29,0.31,0.18,0.37,0.42,0.23,0.19,0.32,0.38,0.51,0.19,0.19,0.52,0.18,0.32,0.34,0.53,0.18,0.2,0.21,60,10,50,25,95,30,20,75,60,70,0.29,0.5,0.18,0.45,0.32,0.43,0.28,0.18,0.38,0.51,0.621,0.522,0.545,0.147,0.029,0.984,0.013,0.144,0.628,0.748,30907,19274,27311,18463,15286,17274,22155,17193,13143,16555,7,6,7,5,9,5,4,9,6,7,2,2,1,2,1,2,3,1,2,2,1,1,1,2,1,1,2,1,1,1,6,4,5,4,9,4,4,7,5,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,3,6,3,4,5,1,4,4,3,6,3,5,1,5,5,1,3,4,8,1,1,5,6,2,1,8,1,8,3,3,0,3,0,3,3,0,0,0,7,5,2,5,6,6,1,6,1,7,0,0,79,30,39,1,0,F,34,English,Firefox,Windows
33,1,1,1,2,3,4,5,6,7,8,9,10,28,24,13,12,38,2,42,47,21,27,40,20,30,20,20,0,0,55,25,15,65,60,50,45,50,30,40,70,45,50,100,90,95,70,90,60,95,85,80,75,0.36,0.33,0.31,0.4,0.3,0.42,0.26,0.28,0.3,0.25,0.4,0.2,0.25,0.34,0.18,0.31,0.42,0.51,0.3,0.38,0.24,0.47,0.44,0.26,0.52,0.27,0.32,0.21,0.4,0.37,40,90,30,70,50,30,95,70,80,75,0.36,0.47,0.31,0.26,0.18,0.31,0.32,0.51,0.4,0.37,0.523,0.97,0.385,0.82,0.541,0.887,0.766,0.818,0.691,0.693,47780,26812,26989,25496,25060,35377,30771,21488,20685,28551,4,8,1,8,4,6,9,5,9,9,3,1,7,1,6,1,1,4,1,1,5,1,7,1,6,1,1,4,1,1,2,7,3,7,5,7,7,5,6,5,6,1,5,2,6,1,1,4,1,1,3,2,5,5,4,4,3,3,5,6,2,6,3,6,3,5,9,6,8,9,2,1,7,1,7,2,1,5,1,1,7,3,3,5,2,4,4,6,4,6,1,2,3,1,3,0,0,3,3,3,2,3,5,2,2,4,5,2,5,1,1,3,58,4,14,1,4,M,30,English,Firefox,Windows
34,1,1,1,2,3,4,5,6,7,8,9,10,46,17,1,20,30,12,33,29,43,47,55,25,0,25,40,20,45,40,10,55,70,60,30,45,65,45,60,65,50,70,85,100,60,80,100,70,90,100,75,85,0.26,0.42,0.38,0.26,0.37,0.4,0.5,0.38,0.55,0.28,0.53,0.38,0.36,0.32,0.32,0.34,0.3,0.34,0.28,0.51,0.21,0.2,0.26,0.42,0.31,0.26,0.2,0.28,0.17,0.21,55,60,0,45,100,70,90,65,10,70,0.26,0.38,0.38,0.32,0.31,0.26,0.2,0.34,0.55,0.51,0.655,0.044,0.645,0.493,0.293,0.543,0.728,0.107,0.939,0.461,13437,12128,10966,10725,13231,21935,10448,8641,9115,11619,3,5,1,5,7,7,7,5,5,3,4,4,5,4,2,3,4,3,3,4,3,4,4,5,2,3,3,5,4,5,3,5,3,4,5,3,3,5,4,4,4,4,4,5,2,2,3,3,3,4,4,5,4,4,2,2,4,4,4,3,3,4,4,5,2,4,3,6,5,3,4,4,5,5,4,2,4,4,5,6,6,3,3,6,6,5,3,6,6,6,2,1,2,1,2,2,2,1,2,2,5,3,4,4,5,5,4,4,4,3,0,0,60,14,24,3,0,M,34,English,Chrome,Mac
35,1,1,1,2,3,4,5,6,7,8,9,10,4,30,12,2,39,24,48,49,32,20,10,40,20,0,20,20,55,50,45,25,35,65,45,30,50,60,70,75,60,45,75,100,70,60,90,90,85,90,90,80,0.5,0.37,0.4,0.42,0.32,0.33,0.25,0.3,0.52,0.26,0.31,0.32,0.34,0.31,0.18,0.2,0.52,0.52,0.29,0.32,0.19,0.31,0.26,0.27,0.5,0.47,0.23,0.18,0.19,0.42,10,100,70,30,90,90,85,50,60,45,0.5,0.31,0.26,0.31,0.5,0.47,0.23,0.3,0.29,0.32,0.114,0.729,0.55,0.331,0.971,0.467,0.646,0.2,0.046,0.263,36126,27825,8763,13649,17761,25886,18699,12335,11862,11278,3,9,9,6,9,9,9,6,9,6,4,9,9,6,1,1,1,1,1,2,3,9,9,5,1,1,1,1,1,2,5,9,9,6,9,9,9,6,9,6,5,2,2,4,1,1,1,1,1,2,3,2,2,4,1,1,1,1,1,2,4,2,2,4,9,9,9,6,9,6,4,2,2,4,1,1,1,1,1,2,5,6,3,5,6,4,6,6,3,7,2,1,1,1,1,2,1,1,2,1,2,3,3,2,3,2,3,2,2,3,0,0,57,16,23,3,0,M,21,english,Chrome,Windows
36,1,1,1,2,3,4,5,6,7,8,9,10,6,17,18,3,23,11,30,50,29,22,10,25,25,0,20,20,40,50,40,20,35,60,60,30,60,45,65,75,65,60,75,100,100,60,90,70,100,90,100,90,0.5,0.42,0.43,0.41,0.34,0.41,0.37,0.32,0.38,0.32,0.32,0.38,0.35,0.37,0.22,0.35,0.32,0.5,0.34,0.16,0.18,0.2,0.22,0.22,0.44,0.24,0.31,0.18,0.28,0.52,75,60,100,60,60,45,100,75,65,20,0.18,0.38,0.22,0.22,0.22,0.35,0.31,0.5,0.34,0.32,0.652,0.281,0.527,0.742,0.151,0.713,0.308,0.404,0.538,0.668,51327,20352,12402,11184,16658,14471,9569,23089,31853,11625,9,8,9,9,8,8,9,7,7,3,1,2,1,1,2,1,1,1,1,8,1,1,1,1,1,1,1,1,1,3,8,6,7,7,5,4,8,2,4,7,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,6,9,8,6,6,9,7,7,4,1,2,1,1,2,2,1,2,2,6,8,2,3,9,9,3,3,8,2,8,2,2,0,2,0,2,2,0,0,0,5,5,2,5,5,6,4,6,3,6,0,0,79,25,31,2,0,M,28,English,Chrome,Windows
37,1,1,1,2,3,4,5,6,7,8,9,10,48,32,6,35,10,50,15,4,16,9,55,45,10,30,20,50,30,10,25,15,70,60,35,50,45,75,50,35,60,70,85,90,75,90,70,90,95,75,100,80,0.25,0.52,0.5,0.41,0.43,0.32,0.3,0.5,0.45,0.45,0.52,0.29,0.32,0.24,0.39,0.5,0.3,0.31,0.37,0.29,0.23,0.19,0.18,0.35,0.18,0.18,0.4,0.19,0.18,0.26,85,60,75,50,20,75,95,10,25,80,0.23,0.29,0.18,0.24,0.43,0.5,0.4,0.5,0.45,0.26,0.516,0.978,0.789,0.06,0.251,0.34,0.555,0.837,0.23,0.359,15300,10951,9696,11528,10895,12220,11251,9423,11782,11399,7,5,7,5,3,7,9,2,2,7,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,5,3,6,3,2,4,7,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,7,5,4,7,7,2,1,9,1,2,1,2,3,1,1,4,5,1,5,3,4,5,2,5,4,5,6,6,2,2,1,1,2,1,1,0,2,2,5,4,6,2,5,4,6,6,5,1,1,1,51,15,15,1,2,F,26,English,Chrome,Mac
38,1,1,1,2,3,4,5,6,7,8,9,10,27,40,36,15,19,38,5,7,20,50,15,0,30,30,25,20,10,15,25,50,50,40,50,50,45,50,35,70,45,75,75,95,90,95,80,90,75,80,80,90,0.25,0.27,0.39,0.3,0.31,0.3,0.515,0.47,0.26,0.32,0.38,0.38,0.25,0.3,0.32,0.18,0.3,0.28,0.32,0.5,0.37,0.35,0.36,0.4,0.37,0.52,0.185,0.25,0.42,0.18,75,0,90,95,25,50,35,15,45,75,0.37,0.27,0.36,0.4,0.31,0.18,0.3,0.47,0.32,0.5,0.678,0.622,0.17,0.381,0.522,0.111,0.976,0.075,0.677,0.718,19792,30709,14523,11843,37900,22568,20275,12135,13596,16394,9,1,9,9,4,5,5,1,5,6,1,9,1,1,2,2,2,9,2,2,1,1,1,1,1,1,1,1,1,1,7,5,7,8,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,9,5,5,4,1,5,6,1,9,1,1,3,3,2,9,3,2,8,3,1,4,6,2,1,7,1,9,3,3,0,3,0,2,3,1,1,0,2,1,3,5,5,7,2,4,3,4,1,0,76,27,27,1,1,F,33,English,Chrome,Windows
39,1,1,1,2,3,4,5,6,7,8,9,10,42,38,5,24,16,36,49,27,28,20,0,20,10,20,25,30,50,15,40,25,40,50,35,60,60,50,75,50,65,45,95,90,75,90,100,90,90,75,100,80,0.26,0.3,0.515,0.33,0.45,0.39,0.3,0.25,0.36,0.26,0.42,0.18,0.3,0.2,0.37,0.25,0.52,0.38,0.4,0.32,0.32,0.52,0.185,0.47,0.18,0.36,0.18,0.37,0.24,0.42,95,50,35,90,25,90,50,75,40,45,0.32,0.18,0.3,0.47,0.45,0.36,0.3,0.37,0.36,0.32,0.021,0.985,0.029,0.959,0.716,0.244,0.166,0.269,0.119,0.13,14259,17615,16347,14672,16441,15105,21479,13702,16348,19540,9,5,6,9,3,9,4,9,4,4,1,7,3,1,6,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,5,3,3,5,6,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,5,4,9,2,9,3,9,3,5,1,7,4,1,7,1,6,1,6,4,6,3,3,6,2,2,2,5,3,7,2,2,2,2,2,0,1,3,2,2,1,3,6,1,6,5,6,4,7,3,0,0,63,11,10,1,0,M,28,English,Chrome,Windows
40,1,1,1,2,3,4,5,6,7,8,9,10,18,26,30,31,38,46,45,28,39,11,25,15,40,45,20,55,10,40,20,20,60,50,65,60,50,70,50,65,50,45,100,75,100,90,90,85,75,100,90,70,0.43,0.24,0.37,0.54,0.3,0.26,0.6,0.36,0.32,0.41,0.35,0.4,0.32,0.3,0.18,0.53,0.24,0.4,0.18,0.35,0.22,0.36,0.31,0.16,0.52,0.21,0.16,0.24,0.5,0.24,100,50,100,45,50,55,75,40,90,45,0.22,0.4,0.31,0.54,0.18,0.26,0.16,0.36,0.5,0.35,0.423,0.226,0.932,0.574,0.945,0.563,0.223,0.186,0.34,0.82,22914,29147,15608,22411,18069,17343,14395,21424,16218,19455,7,7,8,7,7,7,8,7,8,7,3,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,7,6,8,5,7,6,8,3,4,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,7,6,7,5,5,5,7,5,6,6,2,1,1,4,6,6,1,3,1,1,7,3,6,8,7,6,3,8,5,8,3,3,0,3,0,2,3,1,2,0,4,5,1,4,5,2,1,3,2,5,1,1,65,26,33,2,2,M,42,english,Firefox,Windows
41,1,1,1,2,3,4,5,6,7,8,9,10,7,28,5,10,25,9,2,16,44,20,15,40,10,20,15,15,0,25,10,25,70,65,35,45,50,70,30,60,50,45,80,100,75,70,75,80,60,100,75,80,0.47,0.36,0.515,0.43,0.21,0.45,0.42,0.45,0.58,0.26,0.28,0.4,0.3,0.39,0.36,0.29,0.31,0.37,0.24,0.32,0.25,0.24,0.185,0.18,0.43,0.26,0.27,0.18,0.18,0.42,15,40,35,20,15,80,30,25,50,45,0.47,0.36,0.3,0.43,0.21,0.26,0.31,0.45,0.24,0.32,0.399,0.909,0.414,0.684,0.33,0.176,0.154,0.915,0.43,0.958,29363,29616,16847,13995,14844,18509,15813,13120,14352,15389,4,5,5,3,2,7,7,5,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,3,4,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,7,4,3,5,4,3,3,2,2,8,1,2,2,2,2,4,6,2,2,3,8,5,3,7,5,2,1,2,3,3,2,0,2,3,3,2,4,5,3,3,2,4,5,4,2,0,0,39,10,18,1,0,M,33,English,Firefox,Windows
42,1,0,1,2,3,4,5,6,7,8,9,10,50,11,21,48,1,44,14,16,36,3,50,20,25,55,0,10,30,25,30,0,75,45,45,70,30,50,50,60,50,30,90,70,80,85,60,75,95,100,90,60,0.32,0.41,0.3,0.25,0.38,0.58,0.33,0.45,0.39,0.41,0.5,0.35,0.3,0.52,0.36,0.24,0.29,0.37,0.25,0.37,0.18,0.24,0.4,0.23,0.26,0.18,0.38,0.18,0.36,0.22,75,45,80,85,0,50,50,25,90,60,0.5,0.35,0.4,0.23,0.38,0.24,0.29,0.45,0.36,0.22,0.011,0.944,0.191,0.521,0.564,0.79,0.153,0.903,0.01,0.776,30420,34450,17815,13442,16856,21775,16925,19508,17970,12262,8,8,9,9,1,7,6,5,9,9,1,1,1,1,6,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,2,3,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,9,9,1,7,6,5,9,9,2,2,1,1,7,3,4,3,1,1,8,2,1,7,7,1,1,7,2,7,3,3,0,3,0,3,2,2,2,2,5,5,2,5,6,5,2,6,2,6,0,1,79,23,34,1,1,M,25,English,Firefox,Windows
43,1,1,1,2,3,4,5,6,7,8,9,10,7,41,13,11,6,8,18,31,21,25,15,0,30,20,10,15,25,45,25,15,70,40,50,45,35,70,60,60,45,50,80,95,95,70,75,80,100,90,80,75,0.47,0.27,0.31,0.41,0.5,0.49,0.43,0.54,0.3,0.21,0.28,0.4,0.25,0.35,0.32,0.27,0.35,0.3,0.3,0.36,0.25,0.33,0.44,0.24,0.18,0.24,0.22,0.16,0.4,0.43,15,40,30,45,75,70,100,45,80,15,0.47,0.4,0.31,0.35,0.18,0.27,0.22,0.54,0.4,0.21,0.913,0.649,0.688,0.886,0.745,0.863,0.353,0.854,0.878,0.739,20614,13236,12373,13365,11376,10659,10985,11291,11356,10692,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,6,1,4,9,5,4,1,6,2,9,3,3,0,3,0,3,3,3,2,0,6,6,6,6,6,6,3,6,3,6,0,0,73,25,30,1,0,M,33,English,Firefox,Windows
44,1,1,1,2,3,4,5,6,7,8,9,10,23,1,38,30,49,16,18,41,20,4,20,0,20,40,50,25,25,0,25,10,60,30,50,65,75,60,60,40,45,35,90,60,90,100,90,100,100,95,80,75,0.34,0.38,0.3,0.37,0.3,0.45,0.43,0.27,0.26,0.5,0.22,0.36,0.18,0.32,0.52,0.37,0.35,0.4,0.32,0.31,0.44,0.26,0.52,0.31,0.18,0.18,0.22,0.33,0.42,0.19,60,0,50,100,50,25,100,40,45,10,0.22,0.38,0.18,0.31,0.3,0.45,0.22,0.4,0.32,0.5,0.273,0.373,0.963,0.036,0.511,0.301,0.596,0.706,0.146,0.511,15255,14869,13210,16419,13129,17562,14206,13573,14292,15147,9,1,9,9,9,4,9,6,4,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,5,9,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,4,1,3,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,9,1,6,9,1,1,1,5,6,8,3,3,1,2,1,0,0,3,0,1,1,3,4,4,5,6,6,3,6,1,2,3,67,17,14,2,5,F,34,english,Firefox,Windows
45,1,1,1,2,3,4,5,6,7,8,9,10,2,45,17,15,35,12,9,49,43,24,0,10,25,30,30,20,15,50,10,20,30,50,60,50,50,45,70,75,50,60,60,75,100,95,90,70,80,90,75,90,0.42,0.6,0.42,0.3,0.41,0.4,0.45,0.3,0.55,0.33,0.31,0.24,0.38,0.3,0.24,0.34,0.29,0.52,0.28,0.2,0.27,0.16,0.2,0.4,0.35,0.26,0.26,0.18,0.17,0.47,30,75,60,95,50,70,80,50,10,90,0.31,0.16,0.38,0.4,0.24,0.26,0.26,0.3,0.55,0.47,0.889,0.858,0.717,0.237,0.735,0.526,0.069,0.466,0.438,0.957,26817,39937,15948,24292,16383,12716,13058,18129,30734,14870,9,9,9,9,9,9,9,9,6,9,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,7,5,3,5,7,6,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,6,6,6,5,7,1,1,1,1,1,1,1,1,2,1,5,4,6,7,5,1,2,6,9,9,3,3,1,2,3,2,2,1,1,1,4,2,3,4,4,3,3,2,3,3,2,2,60,20,26,1,4,M,37,English,Firefox,Windows
46,1,1,1,2,3,4,5,6,7,8,9,10,25,20,36,1,34,23,42,31,5,11,15,25,30,0,30,20,0,45,10,20,50,45,50,30,50,60,40,60,35,45,75,80,90,60,90,90,95,90,75,70,0.21,0.26,0.39,0.38,0.43,0.34,0.26,0.54,0.515,0.41,0.36,0.32,0.25,0.36,0.23,0.22,0.42,0.3,0.3,0.35,0.43,0.42,0.36,0.26,0.34,0.44,0.32,0.16,0.185,0.24,15,45,90,0,30,60,95,45,35,45,0.21,0.32,0.36,0.38,0.43,0.22,0.32,0.54,0.3,0.35,0.237,0.493,0.41,0.098,0.493,0.231,0.325,0.91,0.979,0.366,27414,22577,14036,15883,14073,13360,14363,19735,18225,15648,5,7,9,1,5,8,9,6,7,8,5,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,8,6,7,1,1,5,8,1,3,7,7,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,2,5,8,9,7,5,7,9,2,1,7,6,1,1,3,2,1,7,2,5,7,4,2,1,8,4,7,3,2,1,2,1,2,2,1,2,2,1,1,4,1,3,4,4,2,5,1,1,1,69,19,14,7,2,M,54,english,Firefox,Windows
47,1,0,1,2,3,4,5,6,7,8,9,10,7,30,8,41,27,32,24,44,26,29,15,40,15,0,15,45,20,10,15,40,70,65,70,40,50,60,60,50,50,65,80,100,80,95,75,90,90,75,75,100,0.47,0.37,0.49,0.27,0.25,0.52,0.33,0.58,0.24,0.38,0.28,0.32,0.27,0.4,0.38,0.29,0.2,0.24,0.4,0.34,0.25,0.31,0.24,0.33,0.37,0.19,0.47,0.18,0.36,0.28,15,100,70,40,75,60,90,50,50,65,0.47,0.31,0.27,0.4,0.37,0.29,0.47,0.24,0.4,0.34,0.041,0.263,0.689,0.244,0.834,0.907,0.305,0.563,0.5,0.748,27318,17153,34268,26559,26233,19192,18887,26870,18155,17769,3,9,8,5,9,8,9,8,8,7,5,1,3,3,1,1,1,1,1,2,6,1,1,1,1,2,1,1,1,2,3,8,6,4,8,7,8,9,7,5,6,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,6,4,9,6,9,8,6,7,8,1,4,5,1,3,1,2,3,2,8,2,5,5,8,1,1,7,3,9,3,3,0,2,0,3,2,0,1,1,6,7,2,5,6,3,1,6,1,7,0,0,75,26,38,2,0,M,34,English (U.S.),Chrome,Windows
48,1,0,1,2,3,4,5,6,7,8,9,10,36,38,21,34,7,49,42,26,41,16,30,20,25,30,15,50,0,15,0,25,50,50,45,50,70,75,40,50,40,60,90,90,80,90,80,90,95,75,95,100,0.39,0.3,0.3,0.43,0.47,0.3,0.26,0.24,0.27,0.45,0.25,0.18,0.3,0.23,0.28,0.52,0.42,0.4,0.4,0.37,0.36,0.52,0.4,0.34,0.25,0.18,0.32,0.36,0.33,0.18,90,50,80,30,15,50,95,50,40,25,0.36,0.18,0.4,0.43,0.47,0.3,0.32,0.4,0.4,0.45,0.695,0.794,0.684,0.08,0.003,0.413,0.078,0.868,0.503,0.615,15720,16763,12001,16196,19168,15422,12097,13844,12738,17299,9,5,9,3,3,6,9,7,6,6,1,4,1,8,7,4,1,2,2,5,1,2,1,4,1,2,1,1,1,2,7,4,8,6,5,5,9,6,7,5,1,5,1,6,4,2,1,2,2,4,1,1,1,1,1,1,1,1,1,1,9,7,9,4,3,6,9,6,7,5,1,5,1,9,9,7,1,3,3,9,9,1,5,7,4,1,3,7,1,8,3,3,0,3,0,3,3,0,0,0,6,7,2,6,7,5,1,7,1,7,0,0,74,30,39,1,0,F,31,english,Chrome,Windows
49,1,0,1,2,3,4,5,6,7,8,9,10,12,20,1,50,46,17,48,15,32,23,20,25,0,50,55,25,55,30,45,20,45,45,30,75,70,60,70,50,60,60,70,80,60,90,85,100,85,95,90,90,0.4,0.26,0.38,0.32,0.26,0.42,0.25,0.3,0.52,0.34,0.34,0.32,0.36,0.5,0.53,0.38,0.52,0.3,0.29,0.22,0.26,0.42,0.26,0.18,0.21,0.2,0.23,0.4,0.19,0.44,70,45,0,75,55,60,85,95,60,60,0.26,0.32,0.38,0.5,0.26,0.38,0.23,0.4,0.29,0.22,0.564,0.675,0.567,0.687,0.936,0.935,0.897,0.243,0.656,0.289,42424,20796,18163,14618,20141,15506,18673,16525,17181,20252,9,6,1,7,6,6,9,9,7,7,1,4,8,2,3,2,1,1,2,2,1,2,5,1,3,1,1,1,1,1,6,4,4,6,6,6,8,6,7,7,1,3,6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,7,5,6,7,6,5,6,1,7,9,2,8,7,1,1,2,4,8,2,2,8,9,3,2,8,3,5,3,3,0,2,0,3,3,0,0,0,6,7,2,7,6,7,1,6,2,6,0,0,76,29,38,4,0,F,51,English,Chrome,Linux
50,1,1,1,2,3,4,5,6,7,8,9,10,21,46,20,14,42,30,6,44,33,45,25,55,25,30,0,40,10,10,45,10,45,70,45,50,40,65,35,50,60,50,80,85,80,95,95,100,75,75,90,75,0.3,0.26,0.26,0.33,0.26,0.37,0.5,0.58,0.5,0.6,0.3,0.53,0.32,0.29,0.42,0.32,0.32,0.24,0.3,0.24,0.4,0.21,0.42,0.38,0.32,0.31,0.18,0.18,0.2,0.16,80,55,45,50,95,100,75,50,90,75,0.4,0.26,0.32,0.29,0.32,0.31,0.18,0.24,0.2,0.16,0.734,0.833,0.762,0.906,0.632,0.21,0.565,0.38,0.13,0.131,17332,24104,17001,19341,16456,16759,17886,17478,14722,15994,9,5,6,6,9,9,9,8,9,9,1,7,4,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,4,5,5,9,9,9,8,9,9,1,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,6,6,9,9,9,8,9,9,1,8,3,4,1,1,1,1,1,1,8,5,1,8,4,5,6,8,1,9,3,3,1,3,1,2,2,1,1,1,2,2,3,2,6,5,3,3,3,5,1,0,69,23,24,1,1,F,26,english,Chrome,Windows
